row_no,company_name,prefecture,municipality,official_site,source_url,public_email,form_status,contact_form_url,form_type,external_form,evidence,homepage_status,resolved_homepage,candidate_count,scanned_at
1,MIRAIRIS株式会社,東京都,台東区,https://www.mirairis.net/,https://www.mirairis.net/company/,info@mirairis.co.jp,あり,https://www.mirairis.net/contact/,問い合わせフォーム,いいえ,リンク文言: お問い合わせフォーム / HTML form検出（入力欄5件、title=お問い合わせ｜東京で中国人向けマンションを探すならミライリス株式会社）,200,https://www.mirairis.net/,3,2026-08-09T15:16:31.145286+00:00
2,REOL 上野店,東京都,台東区,https://www.reol.co.jp/,https://www.reol.co.jp/,ueno@reol.co.jp,あり,https://www.reol.co.jp/contact/,問い合わせフォーム,いいえ,リンク文言: お問い合わせ / HTML form検出（入力欄8件、title=お問い合わせ｜都心・副都心の賃貸｜REOL）,200,https://www.reol.co.jp/,1,2026-08-09T15:16:31.149485+00:00
3,お部屋.com 上野駅前店,東京都,台東区,https://m.ueno-oheya.jp/,https://m.ueno-oheya.jp/company/,info@ueno-oheya.com,あり,https://www.ueno-oheya.jp/contact/,問い合わせフォーム,いいえ,リンク文言: お問い合わせ / HTML form検出（入力欄7件、title=お問い合わせ｜上野の賃貸マンションはお部屋.COM）,200,https://www.ueno-oheya.jp/,2,2026-08-09T15:16:31.150207+00:00
4,つるぎ不動産株式会社,東京都,台東区,https://www.turugi20.co.jp/,https://www.turugi20.co.jp/company/,turugi@turugi20.co.jp,あり,https://www.turugi20.co.jp/contact/edit/,問い合わせフォーム,いいえ,リンク文言: お問い合わせ / HTML form検出（入力欄17件、title=お問い合わせ | 東京都の賃貸・売買ならつるぎ不動産株式会社）,200,https://www.turugi20.co.jp/,2,2026-08-09T15:16:31.150607+00:00
5,台東プロパティマネジメント株式会社,東京都,台東区,https://www.taito-pm.co.jp/,https://www.taito-pm.co.jp/company/,info@taito-pm.co.jp,あり,https://www.taito-pm.co.jp/contact/,問い合わせフォーム,いいえ,共通パス確認: /contact/ / HTML form検出（入力欄5件、title=お問い合わせ台東区の賃貸管理会社｜台東プロパティマネジメント株式会社）,200,https://www.taito-pm.co.jp/,0,2026-08-09T15:16:31.151189+00:00
6,株式会社アートライフ,東京都,台東区,https://e-artlife.co.jp/,https://e-artlife.co.jp/company,info@e-artlife.co.jp,あり,https://e-artlife.co.jp/inquiry,外部フォーム,いいえ,共通パス確認: /inquiry/ / 外部フォーム埋め込み/リンク: https://forms.gle/FSWrQtEq1AJgiFPC8,200,https://e-artlife.co.jp/,0,2026-08-09T15:16:31.151799+00:00
7,株式会社上野不動産 本社,東京都,台東区,https://ueno-fudousan.co.jp/,https://ueno-fudousan.co.jp/company/,uefu@ueno-fudousan.co.jp,あり,https://ueno-fudousan.co.jp/contact-f/,問い合わせフォーム,いいえ,リンク文言: お問合せ / HTML form検出（入力欄14件、title=お問合せ - 株式会社上野不動産）,200,https://ueno-fudousan.co.jp/,1,2026-08-09T15:16:31.152161+00:00
8,部屋市場 上野本店,東京都,台東区,https://www.heyaichiba.jp/,https://www.heyaichiba.jp/company/,ueno@heya-ichiba.jp,あり,https://www.heyaichiba.jp/contact/,問い合わせフォーム,いいえ,リンク文言: お問い合わせ CONTACT / HTML form検出（入力欄6件、title=お問い合わせ｜上野の賃貸物件は部屋市場）,200,https://www.heyaichiba.jp/,7,2026-08-09T15:16:31.153129+00:00
9,文京不動産レジデンシャル株式会社,東京都,文京区,https://bunkyo.co.jp/,https://bunkyo.co.jp/?page_id=158,info@bunkyo.co.jp,要確認,,,,候補リンク0件を確認したがフォーム未検出,403,http://bunkyo.co.jp/,0,2026-08-09T15:16:31.154328+00:00
10,東京不動産企画株式会社,東京都,文京区,https://www.tokyo-fudousan.jp/,https://www.tokyo-fudousan.jp/company/,info@tokyo-fudousan.jp,あり,https://www.tokyo-fudousan.jp/contact/,問い合わせフォーム,いいえ,リンク文言: お問い合わせ / HTML form検出（入力欄5件、title=お問い合わせ｜文京区で不動産の賃貸・購入をご検討中なら東京不動産企画）,200,https://www.tokyo-fudousan.jp/,3,2026-08-09T15:16:31.154665+00:00
